indice,atributo,valoracion1,valoracion2,valoracion3,valoracion4,valoracion5
9,Atributo 7,3,5,1,1,4
9,Atributo 8,4,1,5,3,3
9,Atributo 9,1,4,1,1,3
9,Atributo 10,3,3,2,0,0
10,Atributo 1,3,4,4,5,3
10,Atributo 2,1,1,3,2,0
10,Atributo 3,2,4,2,3,0
10,Atributo 4,2,2,1,0,0
10,Atributo 5,3,2,4,4,0
10,Atributo 6,2,1,4,1,0
10,Atributo 7,3,4,2,4,4
10,Atributo 8,4,3,4,3,3
10,Atributo 9,1,4,3,5,5
10,Atributo 10,3,3,2,0,0
11,Atributo 1,3,1,4,1,5
11,Atributo 2,4,3,4,4,0
11,Atributo 3,4,1,3,2,0
11,Atributo 4,3,1,1,0,0
11,Atributo 5,2,1,1,2,0
11,Atributo 6,1,4,2,4,0
11,Atributo 7,2,4,1,5,3
11,Atributo 8,2,2,1,1,2
11,Atributo 9,5,3,5,1,3
11,Atributo 10,3,3,2,0,0
12,Atributo 1,3,1,3,1,2
12,Atributo 2,4,4,4,4,0
12,Atributo 3,2,1,4,2,0
12,Atributo 4,3,1,1,0,0
12,Atributo 5,2,1,1,2,0
12,Atributo 6,2,2,4,4,0
12,Atributo 7,2,4,1,5,3
12,Atributo 8,2,2,4,5,2
12,Atributo 9,5,4,5,2,4
12,Atributo 10,3,3,2,0,0
13,Atributo 1,5,3,3,2,3
13,Atributo 2,4,2,3,1,0
13,Atributo 3,1,2,2,1,0
13,Atributo 4,1,2,3,0,0
13,Atributo 5,4,3,1,1,0
13,Atributo 6,3,4,1,4,0
13,Atributo 7,2,1,1,2,3
13,Atributo 8,4,1,4,2,2
13,Atributo 9,1,3,4,2,2
13,Atributo 10,2,3,2,0,0
14,Atributo 1,3,2,4,5,5
14,Atributo 2,1,3,3,1,0
14,Atributo 3,4,4,2,1,0
14,Atributo 4,2,2,2,0,0
14,Atributo 5,1,2,4,4,0
14,Atributo 6,4,4,1,2,0
14,Atributo 7,3,4,5,5,2
14,Atributo 8,5,1,1,4,5
14,Atributo 9,2,4,2,3,4
14,Atributo 10,3,3,1,0,0
15,Atributo 1,1,3,3,4,5
15,Atributo 2,3,3,2,3,0
15,Atributo 3,3,2,1,2,0
15,Atributo 4,2,2,2,0,0
15,Atributo 5,2,1,1,2,0
15,Atributo 6,2,4,1,1,0
15,Atributo 7,4,4,2,1,3
15,Atributo 8,3,4,5,2,2
15,Atributo 9,1,1,3,5,4
15,Atributo 10,3,2,3,0,0
16,Atributo 1,1,3,5,4,3
16,Atributo 2,3,2,1,3,0
16,Atributo 3,3,4,2,2,0
16,Atributo 4,2,1,1,0,0
16,Atributo 5,2,4,3,4,0
16,Atributo 6,1,4,3,4,0
16,Atributo 7,1,3,4,5,3
16,Atributo 8,3,5,1,1,5
16,Atributo 9,3,3,2,1,5
16,Atributo 10,3,3,1,0,0
