indice,atributo,valoracion1,valoracion2,valoracion3,valoracion4,valoracion5
13,Atributo 8,3,3,2,0,0
13,Atributo 9,1,3,2,0,0
13,Atributo 10,2,2,2,0,0
14,Atributo 1,3,4,4,4,0
14,Atributo 2,2,2,3,2,5
14,Atributo 3,3,1,1,0,0
14,Atributo 4,3,2,2,0,0
14,Atributo 5,1,1,3,2,3
14,Atributo 6,3,3,1,0,0
14,Atributo 7,2,3,1,0,0
14,Atributo 8,3,3,3,0,0
14,Atributo 9,2,1,1,0,0
14,Atributo 10,1,3,2,0,0
15,Atributo 1,1,4,3,3,0
15,Atributo 2,1,2,5,5,4
15,Atributo 3,3,1,1,0,0
15,Atributo 4,2,2,3,0,0
15,Atributo 5,3,2,3,2,2
15,Atributo 6,2,1,3,0,0
15,Atributo 7,2,2,2,0,0
15,Atributo 8,2,2,3,0,0
15,Atributo 9,1,3,3,0,0
15,Atributo 10,3,2,1,0,0
16,Atributo 1,4,3,3,2,0
16,Atributo 2,2,1,5,5,5
16,Atributo 3,1,1,2,0,0
16,Atributo 4,1,3,3,0,0
16,Atributo 5,3,2,4,1,2
16,Atributo 6,2,1,2,0,0
16,Atributo 7,2,2,3,0,0
16,Atributo 8,1,1,3,0,0
16,Atributo 9,1,2,1,0,0
16,Atributo 10,2,2,3,0,0
