indice,atributo,valoracion1,valoracion2,valoracion3,valoracion4,valoracion5
3,Atributo 11,1,0,3,2,1
3,Atributo 12,0,1,2,?,?
3,Atributo 13,2,0,0,?,?
3,Atributo 14,3,2,2,0,?
3,Atributo 15,3,0,1,3,4
3,Atributo 16,3,3,3,0,?
3,Atributo 17,0,0,0,?,?
3,Atributo 18,1,4,4,3,4
3,Atributo 19,1,1,2,0,4
3,Atributo 20,1,0,1,0,?
4,Atributo 1,1,0,2,2,?
4,Atributo 2,1,2,0,?,?
4,Atributo 3,1,0,1,?,?
4,Atributo 4,0,2,2,2,1
4,Atributo 5,1,1,0,?,?
4,Atributo 6,3,2,0,2,1
4,Atributo 7,1,3,3,4,0
4,Atributo 8,2,0,3,3,?
4,Atributo 9,1,2,0,?,?
4,Atributo 10,1,0,0,3,?
4,Atributo 11,2,3,3,2,0
4,Atributo 12,0,2,0,?,?
4,Atributo 13,2,2,1,?,?
4,Atributo 14,1,3,0,3,?
4,Atributo 15,4,3,1,0,1
4,Atributo 16,1,3,1,2,?
4,Atributo 17,1,0,0,?,?
4,Atributo 18,0,1,0,0,1
4,Atributo 19,4,1,1,2,0
4,Atributo 20,2,2,1,3,?
5,Atributo 1,3,2,2,0,?
5,Atributo 2,1,1,0,?,?
5,Atributo 3,2,2,0,?,?
5,Atributo 4,0,1,4,1,1
5,Atributo 5,1,0,2,?,?
5,Atributo 6,1,3,3,4,0
5,Atributo 7,0,3,1,4,4
5,Atributo 8,2,3,3,3,?
5,Atributo 9,1,2,2,?,?
5,Atributo 10,2,3,0,1,?
5,Atributo 11,1,4,1,3,3
5,Atributo 12,2,2,2,?,?
5,Atributo 13,1,2,1,?,?
5,Atributo 14,0,1,3,2,?
5,Atributo 15,1,3,4,4,2
5,Atributo 16,1,1,3,2,?
5,Atributo 17,2,0,2,?,?
5,Atributo 18,0,1,2,2,2
5,Atributo 19,1,3,4,1,1
5,Atributo 20,1,0,3,1,?
6,Atributo 1,2,2,0,1,?
6,Atributo 2,1,1,2,?,?
6,Atributo 3,0,2,0,?,?
6,Atributo 4,1,4,4,3,1
6,Atributo 5,0,0,1,?,?
6,Atributo 6,1,2,3,3,3
6,Atributo 7,0,3,1,4,0
6,Atributo 8,0,3,3,3,?
6,Atributo 9,0,0,2,?,?
6,Atributo 10,2,3,0,1,?
6,Atributo 11,1,4,1,3,3
6,Atributo 12,2,0,0,?,?
6,Atributo 13,1,0,1,?,?
6,Atributo 14,0,1,2,2,?
6,Atributo 15,0,4,2,4,2
6,Atributo 16,1,1,3,1,?
6,Atributo 17,2,2,2,?,?
6,Atributo 18,0,1,3,4,0
6,Atributo 19,4,3,0,1,4
6,Atributo 20,1,2,3,1,?
7,Atributo 1,3,0,0,2,?
7,Atributo 2,2,2,1,?,?
7,Atributo 3,2,2,1,?,?
7,Atributo 4,2,3,0,1,1
7,Atributo 5,1,0,0,?,?
7,Atributo 6,0,0,2,0,3
7,Atributo 7,2,4,4,4,4
7,Atributo 8,3,2,1,3,?
7,Atributo 9,2,0,2,?,?
7,Atributo 10,0,1,3,0,?
7,Atributo 11,3,4,1,3,0
7,Atributo 12,2,2,0,?,?
7,Atributo 13,2,0,2,?,?
7,Atributo 14,3,1,2,2,?
7,Atributo 15,4,1,0,0,3
7,Atributo 16,2,3,0,1,?
7,Atributo 17,0,1,2,?,?
7,Atributo 18,1,2,4,4,2
7,Atributo 19,0,4,2,1,3
7,Atributo 20,3,2,2,2,?
8,Atributo 1,3,3,0,1,?
8,Atributo 2,2,2,1,?,?
8,Atributo 3,2,0,1,?,?
8,Atributo 4,3,3,3,1,1
8,Atributo 5,1,0,0,?,?
8,Atributo 6,0,4,2,0,3
8,Atributo 7,2,1,4,3,4
8,Atributo 8,3,1,1,1,?
8,Atributo 9,2,0,1,?,?
8,Atributo 10,0,2,3,0,?
8,Atributo 11,4,0,1,3,1
8,Atributo 12,0,2,0,?,?
8,Atributo 13,2,1,2,?,?
8,Atributo 14,1,1,2,2,?
8,Atributo 15,3,1,0,4,3
8,Atributo 16,0,3,2,1,?
8,Atributo 17,0,1,2,?,?
8,Atributo 18,1,2,4,2,1
8,Atributo 19,3,4,4,1,3
8,Atributo 20,3,2,3,2,?
9,Atributo 1,0,3,1,2,?
9,Atributo 2,0,1,0,?,?
9,Atributo 3,0,0,2,?,?
9,Atributo 4,0,4,3,1,3
9,Atributo 5,0,1,1,?,?
9,Atributo 6,1,1,2,4,1
9,Atributo 7,1,2,3,0,3
9,Atributo 8,3,0,2,2,?
9,Atributo 9,2,2,0,?,?
9,Atributo 10,1,3,2,1,?
9,Atributo 11,2,0,4,2,1
9,Atributo 12,0,1,2,?,?
9,Atributo 13,2,0,1,?,?
9,Atributo 14,3,2,2,0,?
9,Atributo 15,3,4,4,3,4
9,Atributo 16,3,1,3,1,?
9,Atributo 17,1,0,0,?,?
9,Atributo 18,3,4,4,1,4
9,Atributo 19,2,1,2,0,4
9,Atributo 20,1,0,1,0,?
10,Atributo 1,2,2,0,3,?
10,Atributo 2,1,1,0,?,?
10,Atributo 3,0,1,2,?,?
10,Atributo 4,3,4,3,3,3
10,Atributo 5,1,0,1,?,?
10,Atributo 6,3,4,2,3,1
10,Atributo 7,1,0,0,0,3
10,Atributo 8,3,0,2,1,?
10,Atributo 9,2,0,0,?,?
10,Atributo 10,0,3,2,1,?
10,Atributo 11,0,0,2,2,1
10,Atributo 12,2,1,2,?,?
10,Atributo 13,2,0,0,?,?
10,Atributo 14,1,1,0,3,?
10,Atributo 15,3,1,1,1,4
10,Atributo 16,3,0,3,0,?
10,Atributo 17,0,0,0,?,?
10,Atributo 18,1,2,4,3,1
10,Atributo 19,1,1,2,3,4
10,Atributo 20,1,0,1,0,?
11,Atributo 1,1,0,1,0,?
11,Atributo 2,0,2,0,?,?
11,Atributo 3,2,0,0,?,?
11,Atributo 4,0,2,2,3,1
11,Atributo 5,1,1,1,?,?
11,Atributo 6,3,2,1,2,1
11,Atributo 7,1,3,3,4,0
11,Atributo 8,2,2,3,3,?
11,Atributo 9,1,2,0,?,?
11,Atributo 10,2,1,0,3,?
11,Atributo 11,1,3,3,2,0
11,Atributo 12,0,2,0,?,?
11,Atributo 13,2,2,1,?,?
11,Atributo 14,1,1,0,0,?
11,Atributo 15,2,3,1,0,1
11,Atributo 16,1,0,1,2,?
11,Atributo 17,1,1,0,?,?
11,Atributo 18,0,4,0,2,1
11,Atributo 19,3,1,1,2,0
11,Atributo 20,1,2,1,3,?
12,Atributo 1,1,3,2,2,?
12,Atributo 2,1,2,2,?,?
12,Atributo 3,1,0,1,?,?
12,Atributo 4,0,2,2,2,1
12,Atributo 5,1,0,1,?,?
12,Atributo 6,3,4,0,4,1
12,Atributo 7,4,1,3,4,4
12,Atributo 8,2,0,3,3,?
12,Atributo 9,1,2,0,?,?
12,Atributo 10,1,2,0,3,?
12,Atributo 11,2,0,4,2,0
12,Atributo 12,0,2,0,?,?
12,Atributo 13,2,2,0,?,?
12,Atributo 14,1,3,0,3,?
12,Atributo 15,4,4,1,0,1
12,Atributo 16,1,3,1,1,?
12,Atributo 17,1,0,0,?,?
12,Atributo 18,0,1,0,0,1
12,Atributo 19,4,2,1,2,0
12,Atributo 20,2,2,1,0,?
13,Atributo 1,3,1,3,2,?
13,Atributo 2,0,1,1,?,?
13,Atributo 3,1,2,1,?,?
13,Atributo 4,3,2,3,0,1
13,Atributo 5,1,2,0,?,?
13,Atributo 6,2,1,3,1,1
13,Atributo 7,2,1,2,3,4
13,Atributo 8,2,2,2,2,?
13,Atributo 9,0,0,2,?,?
13,Atributo 10,2,0,3,3,?
13,Atributo 11,4,3,4,0,0
13,Atributo 12,1,2,0,?,?
13,Atributo 13,2,0,0,?,?
13,Atributo 14,1,0,2,3,?
13,Atributo 15,4,4,4,2,0
13,Atributo 16,0,1,0,3,?
13,Atributo 17,2,2,0,?,?
13,Atributo 18,2,1,2,2,4
13,Atributo 19,1,1,3,4,0
13,Atributo 20,0,3,1,1,?
14,Atributo 1,3,1,1,2,?
14,Atributo 2,2,1,1,?,?
14,Atributo 3,1,1,0,?,?
14,Atributo 4,1,4,4,4,0
14,Atributo 5,1,1,1,?,?
14,Atributo 6,0,4,1,4,3
14,Atributo 7,0,0,2,1,4
14,Atributo 8,3,2,3,2,?
14,Atributo 9,2,0,1,?,?
14,Atributo 10,1,0,0,3,?
14,Atributo 11,1,0,2,0,0
14,Atributo 12,0,0,0,?,?
14,Atributo 13,1,1,0,?,?
14,Atributo 14,3,2,2,3,?
14,Atributo 15,4,3,3,1,1
14,Atributo 16,3,2,1,3,?
14,Atributo 17,2,1,0,?,?
14,Atributo 18,0,0,2,4,3
14,Atributo 19,2,1,3,2,0
14,Atributo 20,3,3,1,2,?
15,Atributo 1,0,1,0,3,?
15,Atributo 2,0,0,0,?,?
15,Atributo 3,0,1,1,?,?
15,Atributo 4,4,2,4,4,4
15,Atributo 5,0,1,2,?,?
15,Atributo 6,1,2,1,1,3
15,Atributo 7,2,3,1,4,2
15,Atributo 8,2,3,0,1,?
15,Atributo 9,0,1,1,?,?
15,Atributo 10,1,3,2,1,?
15,Atributo 11,0,1,4,4,4
15,Atributo 12,1,0,2,?,?
15,Atributo 13,0,1,0,?,?
15,Atributo 14,1,2,2,2,?
15,Atributo 15,0,1,2,3,4
15,Atributo 16,2,1,1,0,?
15,Atributo 17,0,2,0,?,?
15,Atributo 18,2,1,1,3,3
15,Atributo 19,0,1,3,0,3
15,Atributo 20,3,2,0,0,?
16,Atributo 1,2,2,2,0,?
16,Atributo 2,1,2,2,?,?
16,Atributo 3,1,0,2,?,?
16,Atributo 4,2,0,1,2,4
16,Atributo 5,1,1,2,?,?
16,Atributo 6,3,0,3,2,2
16,Atributo 7,2,2,0,0,2
16,Atributo 8,2,2,0,3,?
16,Atributo 9,2,0,2,?,?
16,Atributo 10,1,1,2,1,?
16,Atributo 11,2,0,4,0,2
16,Atributo 12,2,2,1,?,?
16,Atributo 13,2,1,1,?,?
16,Atributo 14,0,0,2,0,?
16,Atributo 15,0,4,2,1,2
16,Atributo 16,0,0,2,2,?
16,Atributo 17,1,0,1,?,?
16,Atributo 18,4,1,4,1,0
16,Atributo 19,3,4,2,1,1
16,Atributo 20,3,3,3,0,?
